"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_ADIPOGENESIS",1,1,-0.174132961420191,-0.517687046337069,84,199,"MTARC2,LPL,SLC66A3,C3,DHRS7B,SSPN,ACAA2,GPAM,DNAJC15,EPHX2,ANGPT1,LIFR,BCL6,TOB1,RETSAT,CMBL,CPT2,PLIN2,TST,CYP4B1,MRAP,ECH1,ANGPTL4,SDHB,COQ3,MRPL15,PPM1B,NKIRAS1,SOWAHC,PTCD3,TANK,NDUFAB1,ELMOD3,SUCLG1,PRDX3,NABP1,UQCR11,SCARB1,UQCR10,ME1,LIPE,HIBCH,CHCHD10,DHCR7,LAMA4,COX7B,HADH,ACADS,UQCRQ,BCL2L13,MCCC1,TALDO1,DECR1,DLAT,STOM,ETFB,DDT,PGM1,ADIPOR2,PHLDB1,AK2,UCP2,RNF11,ATL2,PHYH,SORBS1,FABP4,APLP2,CDKN2C,ADCY6,VEGFB,ARL4A,CIDEA,UCK1"
"HALLMARK_ANDROGEN_RESPONSE",1,1,-0.183284047777158,-0.506530335790262,446,100,"SELENOP,CCND1,HOMER2,UAP1,SORD,LIFR,ITGAV,ZMIZ1,GPD1L,ANKH,MAF,KLK3,MYL12A,LMAN1,ZBTB10,NKX3-1,HMGCR,TSC22D1,ELOVL5,SEC24D,AZGP1,SRP19,TNFAIP8,MAK,SPDEF,RAB4A,CENPN,AKAP12,CDK6,SRF"
"HALLMARK_APOPTOSIS",1,1,0.205746252850507,0.414932340813119,9832,161,"CDKN1A,JUN,PLPPR4,GADD45A,LGALS3,APP,ERBB3,PMAIP1,PSEN2,GSR,BTG2,LMNA,CREBBP,BTG3,GPX4,CDC25B,GPX1,ATF3,MCL1,BMP2,CASP4,AIFM3,SAT1,PDCD4,RELA,CTNNB1,HMOX1,RHOT2,TIMP3,PDGFRB,MMP2,HMGB2,GPX3,BCAP31,DAP,BCL2L11,BCL2L2,TIMP1,H1-0,TGFB2,DNM1L,SOD1,SLC20A1,ENO2,SQSTM1,SPTAN1,TSPO,TXNIP,CCNA1,BID,BCL2L1,MADD"
"HALLMARK_COAGULATION",1,1,-0.208574565851891,-0.598956380603905,227,138,"KLK8,P2RY1,HPN,FBN1,C3,DCT,PRSS23,C8G,FN1,ITGB3,ANXA1,VWF,APOC2,PLAT,F8,GNG12,ANG,CAPN5,CPB2,CFB,CLU,MSRB2,PROS1,SERPINC1,MMP15,MASP2,F2,RAPGEF3,FGG,PROC,RGN,SERPINB2,OLR1,RABIF"
"HALLMARK_COMPLEMENT",1,1,-0.255480860572803,-0.765392261488618,90,200,"L3MBTL4,CXCL1,CR2,C3,PIM1,APOBEC3G,KCNIP2,FN1,CR1,S100A9,PLAT,ZFPM2,ACTN2,GZMK,F8,PCSK9,SCG3,CD55,IRF1,HSPA5,DGKG,ANG,FDX1,PIK3CA,GRB2,EHD1,LIPA,CTSC,MMP13,MMP12,S100A12,CTSL,IRF7,PLA2G4A,CFB,CLU,GZMB,KYNU,PRSS36,SERPINC1,MMP15,JAK2,COL4A2,F2,VCPIP1,F7,CD46,DOCK4,GCA,WAS,SERPINB2,GNG2,PRDM4,OLR1,ME1,RABIF,ATOX1,RBSN,CTSB,IL6,DPP4,F5"
"HALLMARK_DNA_REPAIR",1,1,0.225735157546157,0.454182231156167,9810,150,"VPS37D,POLR1H,POM121,PDE4B,XPC,ADRM1,UPF3B,SUPT5H,ERCC5,POLR2A,GTF2F1,ZWINT,POLA1,GSDME,GPX4,REV3L,SUPT4H1,AGO4,EDF1,SSRP1,NELFE,MPG,SEC61A1,TYMS,SURF1,NELFCD,AAAS,TARBP2,RAD52,ERCC4,ALYREF,TAF10,STX3,BCAP31,DGCR8,IMPDH2,CETN2,USP11,ITPA,NFX1,TP53,DAD1,DGUOK,RFC2,TK2,RNMT,AK1,RBX1,POLR3GL,SF3A3,NELFB,POLD4,ERCC1,RAE1,GTF3C5,TAF1C,NPR2"
"HALLMARK_E2F_TARGETS",1,1,0.25767900770988,0.523443964954407,9910,200,"CDKN1A,PDS5B,GINS1,PNN,HMGB3,POLE,KIF18B,RNASEH2A,HMGA1,JPT1,EXOSC8,CDK1,TCF19,CDC25B,CKS1B,CTCF,ORC6,TMPO,DEK,SYNCRIP,USP1,DIAPH3,PA2G4,H2AZ1,BIRC5,TK1,SSRP1,SRSF2,LUC7L3,NASP,MCM7,DDX39A,SHMT1,POLD2,TRA2B,EZH2,TUBG1,BARD1,CENPE,HELLS,MCM3,MTHFD2,CBX5,PTTG1,HNRNPD,PAN2,PPM1D,E2F8,SUV39H1,HMGB2,PRDX4,CCNB2,NAP1L1,SMC4,STMN1,LMNB1,ILF3,KIF22,PRPS1,MELK,CHEK1,GINS4,ANP32E,CENPM,RRM2,RANBP1,SNRPB,NOP56,TP53,RAD50,DLGAP5,XRCC6,TACC3,RFC2,UBR7,CDKN2A,SPC24,SMC6,RPA1,CDCA3,RAD1,STAG1,UBE2T,TBRG4,CTPS1,CCNE1,TIMELESS,POLE4,NME1,NUP153,NUP205,PAICS,TUBB,RBBP7,CDC25A,RFC1,DCLRE1B,NCAPD2,CDCA8,MKI67,CDKN1B,MYC,ASF1B"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1,1,-0.209697417859489,-0.628230155965288,90,200,"PTX3,CXCL8,IL32,LRRC15,FSTL1,RGS4,SDC4,CXCL1,NTM,FBN1,VCAM1,INHBA,THY1,TNC,SGCD,SPOCK1,SLC6A8,MFAP5,PLOD2,SERPINH1,COL5A2,LAMC2,SGCG,FOXC2,FN1,COL6A3,ITGB3,PCOLCE2,PCOLCE,ITGAV,GPX7,WNT5A,PTHLH,TAGLN,OXTR,COL11A1,VCAN,GADD45B,GJA1,CRLF1,BDNF,CXCL6,ECM1,FBLN5,SLIT3,VEGFA,SERPINE2,COL4A2,SFRP4,FBN2,FAS,COL6A2,IL15,TPM1,PRSS2,FUCA1,FGF2,BGN,LOXL1,IGFBP2,ECM2,WIPF1,BMP1,LAMA1,GLIPR1,PLOD1,ANPEP"
"HALLMARK_ESTROGEN_RESPONSE_LATE",1,1,-0.271664580975997,-0.813876888990374,90,200,"IGSF1,CYP26B1,CCN5,HSPA4L,TNNC1,PAPSS2,EMP2,CISH,SLC16A1,CCND1,HOMER2,PRSS23,LSR,KLF4,STIL,LAMC2,SEMA3B,SORD,TSPAN13,S100A9,TOB1,ATP2B4,KLK10,TRIM29,RPS6KA2,DNAJC12,CA12,TST,PLK4,KRT13,BATF,TIAM1,SOX3,PPIF,KCNK5,BAG1,EGR3,TOP2A,BCL2,JAK2,ELOVL5,NRIP1,SCARB1,PLAC1,PKP3,SIAH2,RABEP1,PDZK1,OLFM1,DHCR7,NXT1,CHPT1,TH,BLVRB,FABP5"
"HALLMARK_FATTY_ACID_METABOLISM",1,1,-0.257910096857189,-0.749003359781084,167,158,"PPARA,HCCS,CBR3,ACAA2,CYP4A22,TP53INP2,CYP1A1,HADHB,AADAT,SDHD,RETSAT,EHHADH,AQP7,ETFDH,UROS,OSTC,ALDH9A1,CPT2,ECI1,HSDL2,GAD2,S100A10,ECH1,XIST,ADH1C,HSD17B11,TDO2,MLYCD,CEL,FH,ELOVL5,D2HGDH,SUCLG1,BLVRA,ACSL5,NBN,ALDH1A1,ME1,MDH1,HIBCH,HAO2,HADH,GPD1,ACADS,FABP1,CPOX,MCEE,PTS,UGDH,DECR1,IL4I1,ADIPOR2,BCKDHB,PDHB,HSD17B10,UBE2L6,PSME1,CA6,BMPR1B,NSDHL,HMGCL,CPT1A,PDHA1,SUCLA2,CIDEA"
