"gene","log2FC"
"PCDP1",2.55717190558574
"RP11-267J23.4",2.55633700947099
"RP11-51L5.3",2.55598378303841
"RP11-289K10.1",2.55496271695854
"HLA-DPB2",2.55364749055755
"LRRC10",2.5528539991313
"AC091969.1",2.55193398638516
"AC144450.1",2.55160228557289
"RP4-639F20.1",2.55131616894716
"AC018890.6",2.54866624215122
"RP11-205M3.3",2.54756740070598
"ATP6C",2.54094111187696
"AC003090.1",2.53997508122615
"RP11-70P17.1",2.53956603393667
"CCDC144CP",2.53495055424249
"AP000350.4",2.5321255604892
"LOC389602",2.52366624817497
"GATSL3",2.52137115068736
"HNRNPCL1",2.51768960270106
"LOC107985770",2.51596617316486
"RP11-717H13.1",2.51247636289399
"TMEM44-AS1",2.51208109569938
"RPL23AP53",2.51202018327008
"DCLRE1CP1",2.51121645219981
"LINC02997",2.51052709460092
"RP11-589F5.4",2.50701000461506
"SACS-AS1",2.50592501554005
"FAM127A",2.50090806908833
"AL590560.1",2.49971061318074
"RP3-399L15.3",2.49830448633539
"RP11-499P20.2",2.49676978228648
"LINC00478",2.49064167486417
"LINC03006",2.49010146124607
"RP11-498C9.2",2.48713554047281
"RP11-367N14.2",2.48618603419782
"RP11-366M4.3",2.48395550091087
"AC093159.1",2.48260748341904
"CTD-3105H18.14",2.48194348076645
"UBE2Q2P3",2.48023566027561
"THEGL",2.47799130008854
"Z95704.5",2.47756100511056
"RP5-1198O20.4",2.47566150045267
"GGTLC3",2.47091694729093
"RP11-493L12.3",2.46765796273172
"RP11-267N12.3",2.46652849848389
"RP11-162P23.2",2.46405745158902
"RP11-302J23.1",2.45899299855518
"RD3L",2.45720439857688
"RP11-486O12.2",2.45596923482385
"RP4-583P15.15",2.4540459061373
"FAM170B-AS1",2.45368669646388
"RP11-513G11.4",2.45360047761088
"LINC01004",2.45304051419786
"C6ORF50",2.45083298601205
"RP11-163O19.3",2.44693633780826
"HIST3H2BA",2.44319487548793
"PHKA2-AS1",2.44260167707577
"RP11-347H15.6",2.44158531619523
"RP11-456K23.1",2.43747514872098
"RPS4XP9",2.43622955053637
"RP11-649A18.12",2.43340132093647
"RP11-87H9.2",2.42926106276766
"AC006538.4",2.42899193332514
"AC003002.6",2.42679847077281
"NBPF2P",2.42650423045522
"GUSBP5",2.41576528951479
"RP5-1160K1.3",2.41203000390852
"TDRD15",2.41166882539055
"CTD-3187F8.12",2.41014798348254
"RP11-517H2.6",2.40489219475728
"RP6-206I17.1",2.39655206995367
"RP11-483P21.2",2.39622177670024
"RP11-536O18.2",2.39387801268339
"RBAK-RBAKDN",2.39079626615586
"AC026740.1",2.39076602569721
"RP11-460N11.2",2.39060853676939
"C2orf53",2.39035733217151
"SERBP1P1",2.38985457590343
"C7orf55",2.38328682287303
"RP11-532F12.5",2.38174336849972
"CNTNAP3C",2.37735016284477
"CTB-41I6.2",2.37477178018736
"RPS7P10",2.37457625046416
"CTD-2619J13.8",2.37359780564995
"AC107982.4",2.3703069681052
"RP11-761I4.3",2.36982933733721
"RP11-2C24.4",2.36704527383456
"GUSBP4",2.36173271446803
"GS1-421I3.2",2.36168992582217
