signature,compound,overlap_genes,signature_size,query_size,p_value,direction,overlapping_genes
Streptozocin-dn,Streptozocin,1,361,77,0.8402217329549948,drug_down_reverses_query_up,INMT
Medroxyprogesterone acetate-dn,Medroxyprogesterone,2,248,77,0.3533803653019545,drug_down_reverses_query_up,"FAT1,RASL11B"
Pioglitazone-up,Pioglitazone,1,282,64,0.6949046308730638,drug_up_reverses_query_down,MCFD2
Dasatinib-dn,Dasatinib,1,293,77,0.7735329960557833,drug_down_reverses_query_up,CBS
Cholestyramine-up,Cholestyramine,1,464,64,0.8598655817709953,drug_up_reverses_query_down,OLFM4
Insulin regular-dn,Insulin,1,214,77,0.6610465847616261,drug_down_reverses_query_up,INMT
Cyclosporine-up,Cyclosporine,1,296,64,0.7125321049034138,drug_up_reverses_query_down,MYL3
Interferon beta-1b-dn,Interferon,1,344,77,0.8256371747633411,drug_down_reverses_query_up,WDR83OS
Simvastatin-dn,Simvastatin,2,385,77,0.5781002346688953,drug_down_reverses_query_up,"INMT,RASL11B"
Mepenzolate bromide-dn,Mepenzolate,1,264,77,0.7373353507940129,drug_down_reverses_query_up,INMT
Arc (nsc 188491)-up,Arc,1,410,64,0.8233037215618676,drug_up_reverses_query_down,TSPYL5
Lubiprostone-dn,Lubiprostone,1,224,77,0.6778770601110435,drug_down_reverses_query_up,FAT1
Trastuzumab-dn,Trastuzumab,1,276,77,0.75295858938055,drug_down_reverses_query_up,FAT1
Motexafin gadolinium (4 h)-dn,Motexafin,1,361,77,0.8402217329549948,drug_down_reverses_query_up,STX10
Pertuzumab-dn,Pertuzumab,2,271,77,0.39468014393319656,drug_down_reverses_query_up,"FAT1,PNN"
Tamoxifen-dn,Tamoxifen,1,227,77,0.6827633958947337,drug_down_reverses_query_up,KCNK1
Mepenzolate-dn,Mepenzolate,1,317,77,0.7997294091149546,drug_down_reverses_query_up,INMT
Heroin-dn,Heroin,1,328,77,0.8107136585973145,drug_down_reverses_query_up,RASL11B
Phenol-up,Phenol,1,226,64,0.6131157873978236,drug_up_reverses_query_down,PTPN3
Nilotinib-up,Nilotinib,2,201,64,0.2038985053870799,drug_up_reverses_query_down,"HBD,HBQ1"
