"gene","combined_log2FC","combined_se","combined_pvalue","n_studies","I2","combined_padj","direction","signature_direction"
"EEF1GP8",-0.326861254390305,0.0853869720173974,0.000129189214313786,1,NA,0.0247574886144021,"down","down"
"KBTBD3",-0.302690005640835,0.0793132393952099,0.000135420120265264,6,0,0.0258006822156553,"down","down"
"RPL21P46",-0.28276669560203,0.0745619558576287,0.000149214989260387,2,0,0.0270153325859828,"down","down"
"LRRC52",-2.10407801351111,0.55530282124323,0.000151215864027666,2,0,0.0272271640889375,"down","down"
"GJD2-DT",-0.833990433314876,0.220913005050752,0.000159880332161673,1,NA,0.0286299370761641,"down","down"
"MCL1|ADAMTSL4-AS1",-0.439751723358708,0.116740643911137,0.000165279277756832,2,7.24292903011985,0.029435880065714,"down","down"
"GFPT2",-0.340123434537163,0.0904363120103916,0.000169291815911171,9,14.0794943763759,0.0299875286886977,"down","down"
"OR13C6P",-1.81470149170874,0.485923434096057,0.000188057078819673,1,NA,0.0322650810100559,"down","down"
"LY6G6C",-0.29119057922817,0.0780752565572335,0.000191773236530833,4,0,0.0324583521002539,"down","down"
"POU5F1B",-1.34745569060148,0.361334107321199,0.000192155029217249,1,NA,0.0324583521002539,"down","down"
"CAV3",-0.258915215572321,0.0696466664935937,0.000201161318301188,7,25.4057682599742,0.0338054174396407,"down","down"
"DIAPH2",-0.350516300743258,0.0949417533593234,0.000222577227891493,4,0,0.0359303239310554,"down","down"
"ADAMTS9-AS2",-0.386108405579765,0.105408375460359,0.000249301386754981,3,0,0.0388762314496475,"down","down"
"GPR157",-0.435638193777261,0.118897652632552,0.000248329672083431,4,0,0.0388762314496475,"down","down"
"RASL10B",-0.565975820482613,0.154604547000349,0.000251432175924905,5,0,0.0388762314496475,"down","down"
"LGI1",-0.420804661495679,0.1151208734592,0.000256852418788356,8,0,0.0393320269331516,"down","down"
"NUAK2",-0.38685354395209,0.106948484583314,0.000297812722689127,5,0,0.0439609140654175,"down","down"
"SMCO1",-1.43021198028502,0.396576076636105,0.000310474375004619,2,0,0.045282018329779,"down","down"
"FYB2",-0.6671615912992,0.185457786190484,0.000321442305999346,1,NA,0.0457985407286894,"down","down"
"LINC01697",-4.62702906977676,1.29027249782174,0.000335677370872556,1,NA,0.0472109332338784,"down","down"
"ARHGEF6",-0.296692920934001,0.0828889944853672,0.0003443831383584,5,0,0.0476178710717501,"down","down"
"LOC102724057",-1.6361401920478,0.457050367503097,0.000343882369631363,1,NA,0.0476178710717501,"down","down"
"MAP6D1",-0.638279113570473,0.178739665251029,0.000355622650373423,2,0,0.0489653540030969,"down","down"
